KID,YEAR,MID,FID,YBIRTH,YBIRTH_M,YMAR,YDIV,YSEP,YBIRTH_F,UD_year,JC_year,edH,edW,F_hrs,F_earn,F_wage,M_hrs,M_earn,M_wage,exp,exp1,exp2,F_AGE,M_AGE,SEP,DIV,TSD,TSS,L,LW_std,LW_raw,PC_std,PC_raw,AP_std,AP_raw,DigSpan,BPE,BPN,tau_m,tau_f,AGE,PHI_M,PHI_F,dgroup,sgroup
18038,2007,18170,18003,1980,1955,1975,1994,1993,1956,1970,1980,0,0,2704,31557.681919901228,11.67074035499304,NA,NA,NA,NA,NA,NA,51,52,TRUE,TRUE,13,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,2,2
22031,1997,22173,22004,1989,1965,1988,1993,1990,1964,1971,1982,0,0,2000,16090.204018065722,8.045102009032862,2600,32180.408036131445,12.378730291231895,NA,8,8,33,32,TRUE,TRUE,4,7,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,8,NA,NA,2,2
22031,2002,22173,22004,1989,1965,1988,1993,1990,1964,1971,1982,0,0,1744,17231.932483446104,9.880695231333775,1868,40207.842461374246,21.524540932213196,NA,13,13,38,37,TRUE,TRUE,9,12,2,115,51,107,29,120,45,21,0,0,52.25,0,13,0.6868048533872598,0,2,2
22031,2007,22173,22004,1989,1965,1988,1993,1990,1964,1971,1982,0,0,2080,33218.61254726445,15.970486801569423,2080,34049.07786094606,16.369748971608715,NA,18,18,43,42,TRUE,TRUE,14,17,2,126,55,97,31,115,50,17,5,0,17.1666666666667,0,18,0.23842592592592637,0,2,2
39031,1997,39174,39030,1995,1972,1992,9999,9999,1970,9999,1983,0,1,2000,34862.10870580906,17.431054352904532,0,0,NA,NA,1,0,27,25,FALSE,FALSE,-8002,-8002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9166666666667,23.4166666666667,2,0.37425595238095266,0.318427475592748,1,1
39031,2002,39174,39030,1995,1972,1992,9999,9999,1970,9999,1983,0,1,2450,37335.85371413323,15.239123964952338,1250,0,NA,NA,6,5,32,30,FALSE,FALSE,-7997,-7997,1,141,45,136,26,128,32,10,4,0,6.6,1.33333333333333,7,0.075032794053345,0.02054929855759726,1,1
39031,2007,39174,39030,1995,1972,1992,9999,9999,1970,9999,1983,0,1,2340,56471.641330349565,24.133180055704976,1560,12456.979705224168,7.985243400784719,NA,10.5,9,37,35,FALSE,FALSE,-7992,-7992,1,131,53,121,32,108,39,13,5,3,10.8333333333333,0,12,0.132113821138211,0,1,1
40035,1997,40004,40171,1980,1961,1979,1994,1993,1962,1970,1977,0,0,192,2145.360535742096,11.17732839121632,3120,19308.244821678865,6.189365145615947,NA,10.5,8,35,36,TRUE,TRUE,3,4,2,86,35,87,19,93,31,20,9,6,0,20.15,17,0,0.18604403409090908,2,2
40035,2002,40004,40171,1980,1961,1979,1994,1993,1962,1970,1977,0,0,710,28719.887472410173,40.45054573578898,0,0,NA,NA,13,10,40,41,TRUE,TRUE,8,9,2,90,47,88,26,97,42,24,3,6,0,0,22,0,0,2,2
40035,2007,40004,40171,1980,1961,1979,1994,1993,1962,1970,1977,0,0,NA,NA,NA,195,215.92098155721894,1.1072870849088121,NA,14.5,10,45,46,TRUE,TRUE,13,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,2,2
40038,1997,40030,40172,1990,1971,1989,1993,1992,1970,1970,1977,0,0,0,0,NA,1820,11799.48294658153,6.47898881794113,NA,6,3,27,26,TRUE,TRUE,4,5,2,77,4,NA,NA,127,20,10,8,8,15.6666666666667,10.6666666666667,7,0.2034632034632039,0.09523809523809554,2,2
40038,2002,40030,40172,1990,1971,1989,1993,1992,1970,1970,1977,0,0,NA,NA,NA,2090,18667.926857066614,8.932022419649098,NA,11,8,32,31,TRUE,TRUE,9,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2,2
40038,2007,40030,40172,1990,1971,1989,1993,1992,1970,1970,1977,0,0,2080,59793.502585076014,28.746876242824992,2704,16609.306273632224,6.142494923680555,NA,16,13,37,36,TRUE,TRUE,14,15,2,106,51,97,29,123,50,20,0,0,24,22,17,0.4,0.3055555555555556,2,2
47034,1997,47004,47170,1987,1960,1981,9999,9999,1960,1971,9999,0,1,2080,12872.163214452577,6.189365145615947,NA,6436.081607226289,NA,NA,16.5,14,37,37,FALSE,FALSE,-8002,-8002,2,NA,NA,NA,NA,NA,NA,NA,4,3,23.8333333333333,13.25,10,NA,0.1840277777777778,1,1
47034,2002,47004,47170,1987,1960,1981,9999,9999,1960,1971,9999,0,1,3744,0,NA,3250,0,NA,NA,21.5,19,42,42,FALSE,FALSE,-7997,-7997,2,NA,NA,NA,NA,NA,NA,NA,2,0,27.5,16.25,15,0.5555555555555556,0.40625,1,1
47034,2007,47004,47170,1987,1960,1981,9999,9999,1960,1971,9999,0,1,NA,29066.285978856395,NA,1456,26574.89003781156,18.251984916079387,NA,26,23,47,47,FALSE,FALSE,-7992,-7992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,1,1
47036,1997,47004,47170,1987,1960,1981,9999,9999,1960,1971,9999,0,1,2080,12872.163214452577,6.189365145615947,NA,6436.081607226289,NA,NA,16.5,14,37,37,FALSE,FALSE,-8002,-8002,2,NA,NA,NA,NA,NA,NA,NA,3,0,38.6666666666667,41.5833333333333,10,NA,0.5775462962962958,1,1
47036,2002,47004,47170,1987,1960,1981,9999,9999,1960,1971,9999,0,1,3744,0,NA,3250,0,NA,NA,21.5,19,42,42,FALSE,FALSE,-7997,-7997,2,NA,NA,NA,NA,NA,NA,NA,1,3,40,30.3333333333333,15,0.8080808080808081,0.7583333333333325,1,1
47036,2007,47004,47170,1987,1960,1981,9999,9999,1960,1971,9999,0,1,NA,29066.285978856395,NA,1456,26574.89003781156,18.251984916079387,NA,26,23,47,47,FALSE,FALSE,-7992,-7992,2,89,46,76,22,86,35,13,1,1,27.9,48.5,20,0.33214285714285713,NA,1,1
47040,1997,47032,47176,1997,1972,1995,9999,9999,1969,1971,9999,1,1,1960,30035.047500389348,15.328601027877276,880,13944.843482323626,15.84348755645538,NA,1.5,1,28,25,FALSE,FALSE,-8002,-8002,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5833333333333,24.8333333333333,0,0.5740965480043146,0.3341959972394751,1,1
47040,2002,47032,47176,1997,1972,1995,9999,9999,1969,1971,9999,1,1,2735,52653.12703275199,19.251600377605847,406,3350.653538447854,8.252841227704074,NA,4,1,33,30,FALSE,FALSE,-7997,-7997,2,NA,NA,NA,NA,NA,NA,NA,6,3,38.1666666666667,19.6666666666667,5,0.3663098314261108,0.3310672277975618,1,1
47040,2007,47032,47176,1997,1972,1995,9999,9999,1969,1971,9999,1,1,2600,NA,NA,1040,16609.306273632224,15.970486801569423,NA,8.5,5,38,35,FALSE,FALSE,-7992,-7992,2,129,50,97,23,119,38,NA,5,4,33.8666666666667,17.4166666666667,10,0.3681159420289859,0.2809139784946242,1,1
47037,1997,47173,47005,1990,1968,1989,1998,1997,1964,1970,1980,1,1,2000,96541.22410839432,48.270612054197166,45,5363.40133935524,119.18550456315215,NA,4.5,2,33,29,TRUE,FALSE,-1,0,2,140,39,133,22,115,24,14,5,4,31.3333333333333,19.3333333333333,7,0.28194035877025986,0.2629009762900971,3,3
47037,2002,47173,47005,1990,1968,1989,1998,1997,1964,1970,1980,1,1,1878,57439.77494482035,30.585609661778676,1538,23933.23956034181,15.561274096451113,NA,9,6,38,34,TRUE,TRUE,4,5,2,118,51,115,31,122,45,18,5,3,24.9166666666667,0,12,0.3023020687509726,0,2,2
47037,2007,47173,47005,1990,1968,1989,1998,1997,1964,1970,1980,1,1,1820,33218.61254726445,18.251984916079387,NA,NA,NA,NA,11,8,43,39,TRUE,TRUE,9,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,2,2
47038,1997,47173,47005,1990,1968,1989,1998,1997,1964,1970,1980,1,1,2000,96541.22410839432,48.270612054197166,45,5363.40133935524,119.18550456315215,NA,4.5,2,33,29,TRUE,FALSE,-1,0,2,121,12,NA,NA,126,16,8,13,1,23.8333333333333,15.5,7,0.21445463459652736,0.21077405857740583,3,3
47038,2002,47173,47005,1990,1968,1989,1998,1997,1964,1970,1980,1,1,1878,57439.77494482035,30.585609661778676,1538,23933.23956034181,15.561274096451113,NA,9,6,38,34,TRUE,TRUE,4,5,2,119,47,113,26,123,39,13,8,2,13.6666666666667,0,12,0.16581116814434635,0,2,2
47038,2007,47173,47005,1990,1968,1989,1998,1997,1964,1970,1980,1,1,1820,33218.61254726445,18.251984916079387,NA,NA,NA,NA,11,8,43,39,TRUE,TRUE,9,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,2,2
